Taxon	Scaffold	Gene1	Gene2	Consecutive	Sep	Code	Strand1	Strand2	GNScore	GNWithin	GNAll	GNMinus	CAI	CAI.Alm	CBI	COG	COGanno	COGfun	Annotation	nCAI	nCAI.Alm	nCBI	nCOG	nCOGanno	nCOGfun	nAnnotation	MI	HK	CAIdsqr	CAIdxdy	CAIlogpratio	CAIdxdyR	CAIdsqrR	COGsim	N1	N2	forward	forwardplus	sumBias	same	bbfGNScore	bbfGNMinus	bbfGNWithin	bbfGNAll	bbfHK	bbfMI	bbfCAIdxdyR	bbfCAIdsqrR	COGsimClass	cfCOG	pSame	groupIndexD	pSameD	pOpLogistic	pOpDistance	pOp1	bOp1	pCAI	pOp	bOp	pOp2	pSame	pOpLogisticLike	pOpLogisticM
182710	212	276794	276795	1	   14	Same	+	+	  0.0000000	 0.00000000	  0.0000000	  0.00000000	1.616593	2.815809	0.9396719	345	Pyrroline-5-carboxylate reductase	E	pyrroline-5-carboxylate reductase	1.612953	2.761393	0.9909620	-	-	-	hypothetical protein	 0.000000e+00	 0	1.325246e-05	 2.114086e-04	 3.134349e-02	-2.598515e-04	1.295260e-03		55	 0	 TRUE	 TRUE	 11	TRUE	0.757940	0.7428740	0.8287312	0.6591098	0.6837467	0.7040591	1.2219710	1.2262104	U	0.9145799	0.6605785	10.07692308	0.78484850	0.3011448	0.8176787	0.61118497	 TRUE	0.5238656	0.63363222	 TRUE	0.50850476	0.6605785	0.2049464	0.4410545
182710	212	276796	276797	1	   21	Same	-	-	  3.4011974	 5.73126906	  9.1324664	  9.13246644	1.619178	2.645123	0.9059839	1428	Deoxynucleoside kinases	F	deoxypurine kinase subunit	1.595988	2.509643	0.8865278	1428	Deoxynucleoside kinases	F	deoxypurine kinase subunit	 5.325921e-02	 8	5.378093e-04	 3.426846e-04	 3.399360e-02	-6.769927e-03	3.553887e-02	F	15	 8	FALSE	 TRUE	 11	TRUE	2.630519	2.5419879	2.6047498	2.2297233	1.2902786	1.5398888	1.2157700	1.2306288	Y	2.8103291	0.9727589	13.47692308	0.70075757	0.9619117	0.7422046	0.98337237	 TRUE	0.5198223	0.98462099	 TRUE	0.93400147	0.9727589	0.8480782	0.9353935
182710	212	276798	276799	1	  504	Same	+	+	  0.0000000	 0.00000000	  0.0000000	  0.00000000	1.776582	3.297413	1.1248381	2814	Arabinose efflux permease	G	bicyclomycin resistance protein	1.534435	2.452532	0.9183050	-	-	-	hypothetical protein	 5.342190e-03	 1	5.863532e-02	-1.397855e-02	-1.140792e-01	-4.376992e-01	1.799169e+00		24	 1	 TRUE	 TRUE	 11	TRUE	0.757940	0.7428740	0.8287312	0.6591098	0.9161387	0.8330198	0.7200328	0.7284420	U	0.9145799	0.6605785	38.76923077	0.11167757	0.3011448	0.1338697	0.05138917	FALSE	0.4326085	0.03966597	FALSE	0.02411299	0.6605785	0.2049464	0.4410545
182710	212	276801	276802	1	  925	Same	+	+	  0.0000000	 0.00000000	  0.0000000	  0.00000000	1.528939	2.605075	1.0319597	-	-	-	hypothetical protein	1.618336	2.947592	1.0473758	1301	Na+/H+-dicarboxylate symporters	C	H(+):sodium-glutamate symporter	 0.000000e+00	 0	7.991934e-03	 1.114456e-03	 2.257677e-02	-2.256792e-02	3.891536e-01		 0	38	 TRUE	 TRUE	 12	TRUE	0.757940	0.7428740	0.8287312	0.6591098	0.6837467	0.7040591	1.1935719	1.1547484	U	0.9145799	0.6605785	40.12307692	0.09115696	0.3011448	0.1097753	0.04142982	FALSE	0.5010000	0.04158897	FALSE	0.02530185	0.6605785	0.2049464	0.4410545
182710	212	276802	276803	1	  190	Same	+	+	  3.3672958	-3.39636490	  6.6995003	  0.14696203	1.618336	2.947592	1.0473758	1301	Na+/H+-dicarboxylate symporters	C	H(+):sodium-glutamate symporter	1.525915	2.577751	0.9060537	365	Acyl-coenzyme A synthetases/AMP-(fatty) acid ligases	I	acetyl-CoA synthetase	 1.321640e-02	37	8.541740e-03	 1.147993e-03	 5.689856e-02	-2.336093e-02	4.152350e-01	0	38	37	 TRUE	 TRUE	 13	TRUE	2.614393	1.2636705	0.4487132	1.8712805	2.3675059	0.9215518	1.1926819	1.1380335	N	1.1486227	0.8531250	30.53846154	0.19385188	0.7658429	0.2281790	0.44023988	FALSE	0.4990829	0.43933610	FALSE	0.25627750	0.8531250	0.5898715	0.7019430
182710	212	276803	276804	1	  160	Same	+	+	  0.0000000	-1.96209086	  0.0000000	 -2.47830127	1.525915	2.577751	0.9060537	365	Acyl-coenzyme A synthetases/AMP-(fatty) acid ligases	I	acetyl-CoA synthetase	1.560053	2.598936	0.8913961	693	Putative intracellular protease/amidase	R	general stress protein 18	 4.928452e-02	 5	1.165423e-03	 7.181005e-03	 8.247674e-02	 2.469337e-01	3.929477e-02		37	 5	 TRUE	 TRUE	 14	TRUE	0.757940	0.5370367	0.4487839	0.6591098	1.1577701	1.4701232	1.2184718	1.2298592	U	0.9145799	0.6232679	28.60769231	0.21352232	0.1778895	0.2502514	0.05548626	FALSE	0.5139784	0.05849124	FALSE	0.04266676	0.6232679	0.1343727	0.4014770
182710	212	276805	276806	1	   62	Same	-	-	  0.0000000	 0.08125258	  0.9452021	  0.08125258	1.638434	2.816973	0.9775324	3858	Predicted glycosyl hydrolase	R	hypothetical protein	1.693054	2.701638	0.9156845	1335	Amidases related to nicotinamidase	Q	isochorismatase	 4.247656e-02	 4	2.983323e-03	 5.731305e-04	 4.090076e-02	 8.336778e-02	1.056575e-01		 5	 4	FALSE	 TRUE	 14	TRUE	0.757940	1.2591309	1.4031978	0.7586607	1.1275099	1.3570179	1.2306591	1.2124081	U	0.9145799	0.7327576	20.12307692	0.46916366	0.5039594	0.5207503	0.47310989	FALSE	0.5198610	0.49295586	FALSE	0.33518873	0.7327576	0.3450672	0.5264508
182710	212	276807	276808	1	  466	Same	+	+	  0.0000000	-0.49200556	  0.0000000	 -0.96436491	1.807449	3.075290	0.9698276	590	Cytosine/adenosine deaminases	FJ	hypothetical protein	1.357726	2.301907	0.7908621	2113	ABC-type proline/glycine betaine transport systems, periplasmic components	E	glycine betaine ABC transporter	 3.785328e-02	 2	2.022505e-01	-4.836875e-02	-3.248390e-01	-8.249224e-01	3.320910e+00		19	 2	 TRUE	 TRUE	 14	TRUE	0.757940	0.4926337	0.4902828	0.6591098	1.0185051	1.2927255	0.5541455	0.5842939	U	0.9145799	0.6199833	38.51538462	0.11556970	0.1663284	0.1384148	0.02540824	FALSE	0.3849627	0.01605607	FALSE	0.01188636	0.6199833	0.1282189	0.3981260
182710	212	276808	276809	1	  149	Same	+	+	  0.0000000	-0.49200556	  0.0000000	 -1.38210011	1.357726	2.301907	0.7908621	2113	ABC-type proline/glycine betaine transport systems, periplasmic components	E	glycine betaine ABC transporter	1.470468	2.457814	0.8296660	1902	NADH:flavin oxidoreductases, Old Yellow Enzyme family	C	NADH-dependent flavin oxidoreductase	 2.790752e-02	 2	1.271069e-02	 4.318908e-02	 3.274493e-01	 8.254846e-01	2.105442e-02	0	 2	27	 TRUE	 TRUE	 15	TRUE	0.757940	0.5041044	0.4902828	0.6591098	1.0185051	1.1250510	1.1189186	1.2330440	N	1.1486227	0.6485215	27.88461538	0.22378914	0.2628655	0.2616966	0.09322758	FALSE	0.5076623	0.09585126	FALSE	0.06204204	0.6485215	0.1820046	0.4279524
182710	212	276809	276810	1	  188	Same	+	+	  0.0000000	-1.96209086	  0.0000000	 -3.03939695	1.470468	2.457814	0.8296660	1902	NADH:flavin oxidoreductases, Old Yellow Enzyme family	C	NADH-dependent flavin oxidoreductase	1.590445	2.683606	0.9473359	2812	DNA polymerase III, gamma/tau subunits	L	DNA polymerase III gamma and tau subunits	 5.508008e-04	15	1.439446e-02	 6.196465e-03	 4.432215e-02	 1.531160e-01	4.308398e-01	0	27	15	 TRUE	 TRUE	 16	TRUE	0.757940	0.5453965	0.4487839	0.6591098	1.7626711	0.7533997	1.2304349	1.1307445	N	1.1486227	0.6513632	30.33076923	0.19537885	0.2720151	0.2298992	0.08318385	FALSE	0.5104056	0.08641421	FALSE	0.05515903	0.6513632	0.1874000	0.4310128
182710	212	276810	276811	1	   34	Same	+	+	  0.0000000	 1.73365944	  1.7336594	  1.73365944	1.590445	2.683606	0.9473359	2812	DNA polymerase III, gamma/tau subunits	L	DNA polymerase III gamma and tau subunits	1.450470	2.290506	0.8661724	718	Uncharacterized protein conserved in bacteria	S	hypothetical protein	 4.154224e-03	 6	1.959309e-02	 6.976035e-03	 1.409186e-01	 1.614574e-01	4.929235e-01		15	 6	 TRUE	 TRUE	 17	TRUE	0.757940	1.5192349	1.7144267	0.8587938	1.2022857	0.8174369	1.2297644	1.1031615	U	0.9145799	0.7658607	17.03846154	0.60934210	0.5841883	0.6572580	0.68665744	 TRUE	0.5064860	0.69221267	 TRUE	0.52760526	0.7658607	0.4109693	0.5701168
182710	212	276811	276812	1	  164	Same	+	+	  7.6553906	 1.73365944	 13.3780341	 13.31349561	1.450470	2.290506	0.8661724	718	Uncharacterized protein conserved in bacteria	S	hypothetical protein	1.615307	2.753835	0.9434365	353	Recombinational DNA repair protein (RecF pathway)	L	recombination protein	 2.527246e-02	 6	2.717139e-02	 2.526783e-03	-1.200607e-03	-9.854205e-03	8.023574e-01		 6	55	 TRUE	 TRUE	 18	TRUE	3.261327	2.8285579	1.7144267	2.6854187	1.2022857	1.0763559	1.2129395	0.9829708	U	0.9145799	0.9466567	28.96923077	0.20911663	0.9233593	0.2453242	0.76108409	 TRUE	0.4908468	0.75436237	 TRUE	0.49012714	0.9466567	0.7904067	0.8779793
182710	212	276812	276813	1	   37	Same	+	+	  0.0000000	 3.04200624	  3.0420062	  3.04200624	1.615307	2.753835	0.9434365	353	Recombinational DNA repair protein (RecF pathway)	L	recombination protein	1.378448	2.248182	0.9377227	-	-	-	hypothetical protein	 8.148683e-03	 2	5.610226e-02	 3.543693e-03	 1.642570e-01	-1.082149e-02	9.654564e-01		55	 2	 TRUE	 TRUE	 19	TRUE	0.757940	1.8190334	2.1038995	1.2244036	1.0185051	0.8728353	1.2107983	0.9296030	U	0.9145799	0.8011795	17.56153846	0.58925435	0.6624768	0.6381710	0.73792955	 TRUE	0.4927627	0.73229223	 TRUE	0.56506272	0.8011795	0.4824578	0.6203245
182710	212	276813	276814	1	  249	Same	+	+	  0.0000000	 2.09680416	  2.0968042	  2.09680416	1.378448	2.248182	0.9377227	-	-	-	hypothetical protein	2.002751	3.672588	1.0620892	-	-	-	pro-sigma K processing regulatory protein	 5.285113e-02	 1	3.897540e-01	-9.369640e-02	-6.653766e-01	-9.359201e-01	3.743744e+00		 2	 1	 TRUE	 TRUE	 20	TRUE	0.757940	1.6214550	1.8781077	0.9876925	0.9161387	1.5236801	0.5408343	0.5737198	U	0.9145799	0.7792809	33.56923077	0.18060290	0.6147717	0.2132044	0.26021464	FALSE	0.3816421	0.17836895	FALSE	0.09585247	0.7792809	0.4379884	0.5887315
182710	212	276814	276815	1	   71	Same	+	+	  0.0000000	 0.00000000	  0.0000000	  0.00000000	2.002751	3.672588	1.0620892	-	-	-	pro-sigma K processing regulatory protein	1.664258	2.490344	0.9667146	-	-	-	hypothetical protein	 3.728161e-04	 1	1.145775e-01	 1.300334e-02	-8.532220e-02	 3.244486e-01	3.927254e-01		 1	 2	 TRUE	 TRUE	 21	TRUE	0.757940	0.7428740	0.8287312	0.6591098	0.9161387	0.7489603	1.2028641	1.1531241	U	0.9145799	0.6605785	21.15384615	0.42248701	0.3011448	0.4735195	0.23968184	FALSE	0.5201070	0.25465201	FALSE	0.16969900	0.6605785	0.2049464	0.4410545
182710	212	276815	276816	1	  142	Same	+	+	  0.0000000	 1.73365944	  1.7336594	  1.73365944	1.664258	2.490344	0.9667146	-	-	-	hypothetical protein	1.648339	2.798038	0.9473247	1982	Arginine/lysine/ornithine decarboxylases	E	lysine decarboxylase	 4.465466e-02	 2	2.534183e-04	 6.587325e-04	 3.367136e-02	 7.916431e-02	1.033989e-02		 2	15	 TRUE	 TRUE	 22	TRUE	0.757940	1.5192349	1.7144267	0.8587938	1.0185051	1.3865181	1.2302968	1.2330172	U	0.9145799	0.7658607	27.43076923	0.23190048	0.5841883	0.2707027	0.29783682	FALSE	0.5145981	0.31019433	FALSE	0.18255059	0.7658607	0.4109693	0.5701168
182710	212	276816	276817	1	   11	Same	+	+	  2.4244415	 7.60015639	 11.0015132	  9.74511694	1.648339	2.798038	0.9473247	1982	Arginine/lysine/ornithine decarboxylases	E	lysine decarboxylase	1.598195	2.612523	0.8569342	125	Thymidylate kinase	F	thymidylate kinase	 5.614746e-03	15	2.514350e-03	-5.906477e-04	 2.516056e-02	-2.947679e-02	1.299375e-01	0	15	58	 TRUE	 TRUE	 23	TRUE	2.337133	2.6123483	3.1447214	2.4461714	1.7626711	0.8356114	1.1826575	1.2068285	N	1.1486227	0.9393631	 8.70000000	0.85110926	0.9122038	0.8754334	0.98344173	 TRUE	0.5188157	0.98462429	 TRUE	0.95487355	0.9393631	0.7744278	0.8626577
182710	212	276817	276818	1	  -31	Same	+	+	  5.5889423	 5.50335223	 12.0692099	 12.06920990	1.598195	2.612523	0.8569342	125	Thymidylate kinase	F	thymidylate kinase	1.386086	2.331496	0.8689588	3870	Uncharacterized protein conserved in bacteria	S	hypothetical protein	 1.231628e-04	10	4.499060e-02	 7.599827e-03	 1.922706e-01	 1.212381e-01	7.080783e-01		58	10	 TRUE	 TRUE	 24	TRUE	2.976468	2.7608121	2.5716631	2.5741413	1.4252522	0.7388412	1.2319140	1.0126355	U	0.9145799	0.9462722	 0.29230769	0.96455107	0.9227755	0.9709744	0.99693378	 TRUE	0.4928768	0.99684543	 TRUE	0.99002223	0.9462722	0.7895628	0.8771640
182710	212	276818	276819	1	   29	Same	+	+	  0.0000000	 0.94520208	  0.9452021	  0.94520208	1.386086	2.331496	0.8689588	3870	Uncharacterized protein conserved in bacteria	S	hypothetical protein	1.699586	2.778275	0.9578091	1728	Uncharacterized protein conserved in bacteria	S	hypothetical protein	 2.765470e-02	 1	9.828231e-02	-1.707258e-02	-2.101215e-01	-5.056649e-01	2.219683e+00		10	 1	 TRUE	 TRUE	 25	TRUE	0.757940	1.4009490	1.5955349	0.7586607	0.9161387	1.1134207	0.6721493	0.6649324	U	0.9145799	0.7518900	15.92307692	0.65134370	0.5511903	0.6966724	0.69644623	 TRUE	0.4135048	0.61796898	 TRUE	0.44985378	0.7518900	0.3830277	0.5513090
182710	212	276819	276820	1	   49	Same	+	+	  0.0000000	 0.94520208	  0.9452021	  0.94520208	1.699586	2.778275	0.9578091	1728	Uncharacterized protein conserved in bacteria	S	hypothetical protein	1.711453	2.821054	0.9220411	2812	DNA polymerase III, gamma/tau subunits	L	DNA polymerase III delta subunit	 2.507089e-02	 1	1.408230e-04	 5.754861e-03	 8.273243e-02	 3.004113e-01	2.643387e-03		 1	12	 TRUE	 TRUE	 26	TRUE	0.757940	1.4009490	1.5955349	0.7586607	0.9161387	1.0684392	1.2080239	1.2288701	U	0.9145799	0.7518900	18.73846154	0.53669232	0.5511903	0.5874865	0.58722722	 TRUE	0.5156105	0.60228065	 TRUE	0.43358946	0.7518900	0.3830277	0.5513090
182710	212	276820	276821	1	    5	Same	+	+	  5.4579141	 5.66913485	 12.1039643	 12.02985629	1.711453	2.821054	0.9220411	2812	DNA polymerase III, gamma/tau subunits	L	DNA polymerase III delta subunit	1.475718	2.399393	0.8430661	1774	Uncharacterized homolog of PSP1	S	signal peptidase II	 1.495213e-01	12	5.557064e-02	-1.260807e-02	-5.321238e-02	-4.700591e-01	1.939738e+00		12	19	 TRUE	 TRUE	 27	TRUE	2.968387	2.7556594	2.5930337	2.5817063	1.5789278	2.4213493	0.6918466	0.7027332	U	0.9145799	0.9461577	 7.57692308	0.89049131	0.9226016	0.9090690	0.98978874	 TRUE	0.4255852	0.98626685	 TRUE	0.95757489	0.9461577	0.7893116	0.8769213
182710	212	276821	276822	1	   15	Same	+	+	  4.6188130	 4.80232418	 10.3980525	 10.39805249	1.475718	2.399393	0.8430661	1774	Uncharacterized homolog of PSP1	S	signal peptidase II	1.505382	2.341987	0.8286603	4467	Uncharacterized protein conserved in bacteria	S	YabA-like protein	 1.060243e-01	 8	8.799508e-04	 1.906665e-02	 1.827640e-01	 5.724390e-01	1.411895e-02		19	 8	 TRUE	 TRUE	 28	TRUE	2.850324	2.6618633	2.5494721	2.4081652	1.2902786	2.1197589	1.1524544	1.2334514	U	0.9145799	0.9406974	10.68461538	0.76520644	0.9142575	0.8002711	0.97202861	 TRUE	0.5123198	0.97333801	 TRUE	0.92279895	0.9406974	0.7773466	0.8654381
182710	212	276822	276823	1	  278	Same	+	+	  1.0745147	 6.73334572	  8.7847758	  8.31646016	1.505382	2.341987	0.8286603	4467	Uncharacterized protein conserved in bacteria	S	YabA-like protein	1.617273	2.692213	0.8888475	4123	Predicted O-methyltransferase	R	hypothetical protein	 8.503430e-02	 8	1.251944e-02	 1.507641e-03	 1.731214e-02	-2.097944e-02	5.321788e-01		 8	23	 TRUE	 TRUE	 29	TRUE	1.889939	2.4616013	2.7762044	2.1724860	1.2902786	1.9205630	1.1955631	1.0857991	U	0.9145799	0.9086352	34.69230769	0.16820381	0.8632392	0.1991110	0.56071087	 TRUE	0.4939412	0.55473258	 TRUE	0.32340701	0.9086352	0.7077516	0.8012821
182710	212	276823	276824	1	   -7	Same	+	+	  8.0478978	 6.51972642	 26.2928107	 25.77495342	1.617273	2.692213	0.8888475	4123	Predicted O-methyltransferase	R	hypothetical protein	1.577922	2.464980	0.9131036	2827	Predicted endonuclease containing a URI domain	L	hypothetical protein	 9.186126e-02	19	1.548458e-03	 6.259880e-04	 3.894452e-02	-7.975442e-03	8.756596e-02		23	19	 TRUE	 TRUE	 30	TRUE	3.328389	3.2632812	2.6679393	3.4035711	1.9377290	1.9808399	1.2148410	1.2176973	U	0.9145799	0.9635156	 2.36923077	0.95728640	0.9484984	0.9649782	0.99758311	 TRUE	0.5198319	0.99776711	 TRUE	0.99148557	0.9635156	0.8275679	0.9145848
182710	212	276824	276825	1	    7	Same	+	+	  1.0745147	 6.51972642	  8.5711565	  5.85762059	1.577922	2.464980	0.9131036	2827	Predicted endonuclease containing a URI domain	L	hypothetical protein	1.631934	2.752701	0.9240066	313	Predicted methyltransferases	R	hypothetical protein	 6.320298e-02	19	2.917261e-03	-1.291311e-04	 2.380423e-02	-3.304112e-02	1.522359e-01		19	41	 TRUE	 TRUE	 31	TRUE	1.889939	2.2375962	2.6679393	2.1147218	1.9377290	1.6710899	1.1779368	1.2022487	U	0.9145799	0.8977450	 8.08461538	0.87633462	0.8450813	0.8970363	0.97478311	 TRUE	0.5178681	0.97648231	 TRUE	0.94286933	0.8977450	0.6843672	0.7806845
182710	212	276827	276828	1	  125	Same	+	+	 15.2221265	 7.60015639	 37.4315938	 24.21233650	1.614971	2.683477	0.9333557	143	Methionyl-tRNA synthetase	J	methionine-tRNA ligase	1.597940	2.618818	0.9236622	84	Mg-dependent DNase	L	hypothetical protein	 6.412904e-02	63	2.900593e-04	 4.551440e-04	 3.459740e-02	-9.117238e-04	1.817606e-02	0	63	68	 TRUE	 TRUE	 32	TRUE	3.893230	3.2369234	3.1447214	3.8616499	2.6691505	1.6818932	1.2215491	1.2333478	N	1.1486227	0.9759142	26.23076923	0.26146933	0.9664322	0.3032657	0.91065832	 TRUE	0.5202779	0.91704481	 TRUE	0.69381146	0.9759142	0.8551018	0.9426214
